#Pulsos	T_02d	002d	delta02d/10250	S5_delta02d	AA	AD	AC	AB
122.00	329.39	7004.7	-0.31662	-0.30530				
123.00	332.11	6967.5	-0.32024	-0.30577				
124.00	334.83	7403.5	-0.27771	-0.31265				
125.00	337.55	7106.6	-0.30667	-0.31868				
126.00	340.27	6744.4	-0.34201	-0.31545				
127.00	342.99	6695.7	-0.34676	-0.32204				
128.00	345.71	7132.7	-0.30413	-0.32623				
129.00	348.43	7065.9	-0.31065	-0.32106				
130.00	351.15	6892.0	-0.32761					
131.00	353.87	7009.4	-0.31616					
132.00								
133.00								
134.00								
135.00								
136.00								
137.00								
138.00								
139.00								
140.00								
141.00								
142.00								
143.00								
144.00								
145.00								
146.00								
147.00								
148.00								
149.00								
150.00								
151.00								
152.00								
153.00								
154.00								
155.00								
156.00								
157.00								
158.00								
159.00								
160.00								
161.00								
162.00								
163.00								
164.00								
165.00								
166.00								
167.00								
168.00								
169.00								
170.00								
171.00								
172.00								
173.00								
174.00								
175.00								
176.00								
177.00								
178.00								
179.00								
180.00								
181.00								
182.00								
183.00								
184.00								
185.00								
186.00								
187.00								
188.00								
189.00								
190.00								
191.00								
192.00								
193.00								
194.00								
195.00								
196.00								
197.00								
198.00								
199.00								
200.00								
